place,show_title,show_rating,year,star_cast,id
1,Planet Earth II,9.436401031111549,2016,"David Attenborough, Gordon Buchanan",tt5491994
2,Breaking Bad,9.428243415416082,2008,"Bryan Cranston, Aaron Paul",tt0903747
3,Planet Earth,9.414138957813995,2006,"Sigourney Weaver, David Attenborough",tt0795176
4,Band of Brothers,9.390683989698196,2001,"Scott Grimes, Damian Lewis",tt0185906
5,Chernobyl,9.316630384373264,2019,"Jessie Buckley, Jared Harris",tt7366338
6,The Wire,9.290266122356288,2002,"Dominic West, Lance Reddick",tt0306414
7,Blue Planet II,9.23098950064292,2017,"David Attenborough, Peter Drost",tt6769208
8,Avatar: The Last Airbender,9.230070152001032,2005,"Dee Bradley Baker, Zach Tyler Eisen",tt0417299
9,Cosmos: A Spacetime Odyssey,9.202696952935177,2014,"Neil deGrasse Tyson, Christopher Emerson",tt2395695
1, The Sopranos,9.200584181036042,1999,"James Gandolfini, Lorraine Bracco",tt0141842
11,Cosmos,9.188192852795463,1980,"Carl Sagan, Jaromír Hanzlík",tt0081846
12,Our Planet,9.186484721575992,2019,David Attenborough,tt9253866
13,Game of Thrones,9.145247173852459,2011,"Emilia Clarke, Peter Dinklage",tt0944947
14,Rick and Morty,9.09742064792206,2013,"Justin Roiland, Chris Parnell",tt2861424
15,The World at War,9.097162912866166,1973,"Laurence Olivier, Averell Harriman",tt0071075
16,Fullmetal Alchemist: Brotherhood,9.050768229951885,2009,"Kent Williams, Iemasa Kayumi",tt1355642
17,The Last Dance,9.040597084602595,2020,"Michael Jordan, Phil Jackson",tt8420184
18,Life,9.037250703235031,2009,"Oprah Winfrey, David Attenborough",tt1533395
19,Sherlock,9.015977934743429,2010,"Benedict Cumberbatch, Martin Freeman",tt1475582
20,The Twilight Zone,9.014488202250474,1959,"Rod Serling, Robert McCord",tt0052520
21,The Vietnam War,9.000933724554526,2017,"Peter Coyote, Huy Duc",tt1877514
22,Bluey,8.976245930859815,2018,"David McCormack, Melanie Zanetti",tt7678620
23,Batman: The Animated Series,8.971775596778992,1992,"Kevin Conroy, Loren Lester",tt0103359
24,Scam 1992: The Harshad Mehta Story,8.952691435698641,2020,"Pratik Gandhi, Shreya Dhanwanthary",tt12392504
25,Arcane,8.934720840812373,2021,"Hailee Steinfeld, Kevin Alejandro",tt11126994
26,The Blue Planet,8.92933328263398,2001,"David Attenborough, Pierce Brosnan",tt0296310
27,Attack on Titan,8.928195705266885,2013,"Josh Grelle, Bryce Papenbrook",tt2560140
28,The Office,8.925081771484873,2005,"Steve Carell, Jenna Fischer",tt0386676
29,Firefly,8.913721777733338,2002,"Nathan Fillion, Gina Torres",tt0303461
30,Human Planet,8.912684992831114,2011,"John Hurt, Roger Munns",tt1806234
31,Frozen Planet,8.900550555008849,2011,"David Attenborough, Alec Baldwin",tt2092588
32,Death Note,8.894636054362405,2006,"Mamoru Miyano, Brad Swaile",tt0877057
33,Only Fools and Horses,8.88692950106134,1981,"David Jason, Nicholas Lyndhurst",tt0081912
34,The Civil War,8.88594796771994,1990,"David McCullough, Sam Waterston",tt0098769
35,Hunter x Hunter,8.882415930440395,2011,"Issei Futamata, Megumi Han",tt2098220
36,True Detective,8.881806026263533,2014,"Vince Vaughn, Colin Farrell",tt2356777
37,Better Call Saul,8.880429796963996,2015,"Bob Odenkirk, Rhea Seehorn",tt3032476
38,Seinfeld,8.873010733172858,1989,"Jerry Seinfeld, Julia Louis-Dreyfus",tt0098904
39,The Beatles: Get Back,8.865744998801103,2021,"The Beatles, John Lennon",tt9735318
40,Dekalog,8.86491986889837,1989,"Artur Barcis, Olgierd Lukaszewicz",tt0092337
41,Persona,8.864445403312722,2018,"Haluk Bilginer, Cansu Dere",tt7920978
42,Fargo,8.857622869091538,2014,"Billy Bob Thornton, Martin Freeman",tt2802850
43,Cowboy Bebop,8.854993692261917,1998,"Kôichi Yamadera, Unshô Ishizuka",tt0213338
44,Clarkson's Farm,8.850417377754296,2021,"Jeremy Clarkson, Kaleb Cooper",tt10541088
45,Nathan for You,8.841270783515695,2013,"Nathan Fielder, Anthony Filosa",tt2297757
46,Gravity Falls,8.827382643236097,2012,"Jason Ritter, Alex Hirsch",tt1865718
47,When They See Us,8.818112893653646,2019,"Asante Blackk, Caleel Harris",tt7137906
48,Last Week Tonight with John Oliver,8.816599409582272,2014,"John Oliver, David Kaye",tt3530232
49,Friends,8.814459402844982,1994,"Jennifer Aniston, Courteney Cox",tt0108778
50,TVF Pitchers,8.80496423123775,2015,"Naveen Kasturia, Arunabh Kumar",tt4742876
51,Africa,8.80336087770364,2013,"David Attenborough, Simon Blakeney",tt2571774
52,Apocalypse: The Second World War,8.801681441161021,2009,"Mathieu Kassovitz, Martin Sheen",tt1508238
53,Monty Python's Flying Circus,8.796183976115145,1969,"Graham Chapman, John Cleese",tt0063929
54,It's Always Sunny in Philadelphia,8.792077535570847,2005,"Charlie Day, Rob McElhenney",tt0472954
55,Taskmaster,8.785500947039646,2015,"Greg Davies, Alex Horne",tt4934214
56,Das Boot,8.773539728857843,1985,"Jürgen Prochnow, Herbert Grönemeyer",tt0081834
57,The West Wing,8.766467339272731,1999,"Martin Sheen, Rob Lowe",tt0200276
58,Curb Your Enthusiasm,8.764831006837012,2000,"Larry David, Cheryl Hines",tt0264235
59,Pride and Prejudice,8.755733163205067,1995,"Colin Firth, Jennifer Ehle",tt0112130
60,Fawlty Towers,8.755686546627933,1975,"John Cleese, Prunella Scales",tt0072500
61,Leyla and Mecnun,8.753978265095464,2011,"Ali Atay, Serkan Keskin",tt1831164
62,As If,8.753309526361024,2021,"Feyyaz Yigit, Kivanç Kilinç",tt13675832
63,Freaks and Geeks,8.751557112977048,1999,"Linda Cardellini, John Francis Daley",tt0193676
64,Blackadder Goes Forth,8.74230597810572,1989,"Rowan Atkinson, Tony Robinson",tt0096548
65,Twin Peaks,8.741986021258532,1990,"Kyle MacLachlan, Michael Ontkean",tt0098936
66,Black Mirror,8.738503529592352,2011,"Daniel Lapaine, Hannah John-Kamen",tt2085059
67,BoJack Horseman,8.735529170977374,2014,"Will Arnett, Amy Sedaris",tt3398228
68,Narcos,8.733728227362802,2015,"Pedro Pascal, Wagner Moura",tt2707408
69,Succession,8.729930963194466,2018,"Nicholas Braun, Brian Cox",tt7660850
70,Chappelle's Show,8.724993984122497,2003,"Dave Chappelle, Donnell Rawlings",tt0353049
71,Dragon Ball Z,8.724839334733238,1989,"Doc Harris, Christopher Sabat",tt0214341
72,Dragon Ball Z,8.717966184548393,1989,"Jôji Yanami, Kyle Hebert",tt0121220
73,One Piece,8.713459607257303,1999,"Mayumi Tanaka, Laurent Vernin",tt0388629
74,"I, Claudius",8.709980269491759,1976,"Derek Jacobi, John Hurt",tt0074006
75,South Park,8.698752125114224,1997,"Trey Parker, Matt Stone",tt0121955
76,Rome,8.695583032429091,2005,"Kevin McKidd, Ray Stevenson",tt0384766
77,Over the Garden Wall,8.694059004010004,2014,"Elijah Wood, Collin Dean",tt3718778
78,Six Feet Under,8.69405195789573,2001,"Peter Krause, Michael C. Hall",tt0248654
79,Ted Lasso,8.693057409033369,2020,"Jason Sudeikis, Brett Goldstein",tt10986410
80,Peaky Blinders,8.693044838922072,2013,"Cillian Murphy, Paul Anderson",tt2442560
81,Oz,8.691522089939733,1997,"Ernie Hudson, J.K. Simmons",tt0118421
82,Kota Factory,8.690633033090476,2019,"Mayur More, Jitendra Kumar",tt9432978
83,Dark,8.677887538097917,2017,"Louis Hofmann, Karoline Eichhorn",tt5753856
84,The Mandalorian,8.672406700512957,2019,"Pedro Pascal, Carl Weathers",tt8111088
85,Steins;Gate,8.671719034726145,2011,"Mamoru Miyano, Asami Imai",tt1910272
86,Arrested Development,8.66776878212846,2003,"Jason Bateman, Michael Cera",tt0367279
87,The Boys,8.663781711222992,2019,"Karl Urban, Jack Quaid",tt1190634
88,One Punch Man,8.658847976871629,2015,"Makoto Furukawa, Kaito Ishikawa",tt4508902
89,The Simpsons,8.656911859220335,1989,"Dan Castellaneta, Nancy Cartwright",tt0096697
90,Fleabag,8.654279956176058,2016,"Phoebe Waller-Bridge, Sian Clifford",tt5687612
91,The Shield,8.650853250506524,2002,"Michael Chiklis, Jay Karnes",tt0286486
92,House MD,8.650264913697125,2004,"Hugh Laurie, Omar Epps",tt0412142
93,Battlestar Galactica,8.64983088697583,2004,"Edward James Olmos, Mary McDonnell",tt0407362
94,Downton Abbey,8.645546622920179,2010,"Hugh Bonneville, Phyllis Logan",tt1606375
95,Stranger Things,8.643391923965675,2016,"Millie Bobby Brown, Finn Wolfhard",tt4574334
96,Gullak,8.641593385003548,2019,"Jameel Khan, Geetanjali Kulkarni",tt10530900
97,Invincible,8.638030874330772,2021,"Steven Yeun, J.K. Simmons",tt6741278
98,Panchayat,8.635899965626672,2020,"Jitendra Kumar, Raghuvir Yadav",tt12004706
99,Mad Men,8.63153508755002,2007,"Jon Hamm, Elisabeth Moss",tt0804503
10, Sarabhai V/S Sarabhai,8.630495724155791,2004,"Satish Shah, Ratna Pathak Shah",tt1518542
101,Severance,8.62936021662643,2022,"Adam Scott, Zach Cherry",tt11280740
102,Vinland Saga,8.628632618771881,2019,"Zach Aguilar, Keith Silverstein",tt10233448
103,Peep Show,8.626262784959826,2003,"David Mitchell, Robert Webb",tt0387764
104,Star Trek: The Next Generation,8.622893935857892,1987,"Patrick Stewart, Brent Spiner",tt0092455
105,The Marvelous Mrs Maisel,8.621566255691501,2017,"Rachel Brosnahan, Alex Borstein",tt5788792
106,The Adventures of Sherlock Holmes,8.620952650930136,1984,"Jeremy Brett, David Burke",tt0086661
107,Friday Night Lights,8.618371366442512,2006,"Kyle Chandler, Connie Britton",tt0758745
108,House of Cards,8.618024017692827,2013,"Kevin Spacey, Michel Gill",tt1856010
109,Berserk,8.61249162744992,1997,"Marc Diraison, Nobutoshi Canna",tt0318871
110,Top Gear,8.612157293654649,2002,"Jeremy Clarkson, Richard Hammond",tt1628033
111,The Grand Tour,8.612055582986283,2016,"Jeremy Clarkson, James May",tt5712554
112,The Crown,8.607821084469057,2016,"Claire Foy, Olivia Colman",tt4786824
113,Justice League Unlimited,8.60455236543701,2004,"George Newbern, Kevin Conroy",tt6025022
114,The Thick of It,8.604354221596411,2005,"Chris Addison, James Smith",tt0459159
115,1883,8.603688544320324,2021,"Sam Elliott, Tim McGraw",tt13991232
